Planificador,Tamaño,Drones,Transporters,Locations,Persons,Crates,Goals,Resuelto,Tiempo(s),Coste
metric-ff,2,1,1,2,2,2,2,Sí,.151257048,252
fd-lama,2,1,1,2,2,2,2,Sí,.936078567,252
fd-sat-fdss2,2,1,1,2,2,2,2,Sí,1.695884712,252
fd-sat-autotune2,2,1,1,2,2,2,2,Sí,.553438011,252
fd-opt-lmcut,2,1,1,2,2,2,2,Sí,.541996776,132
fd-opt-bjolp,2,1,1,2,2,2,2,Sí,.543621640,132
fd-opt-fdss2,2,1,1,2,2,2,2,No,60,-
metric-ff,3,1,1,3,3,3,3,Sí,.061785238,1638
fd-lama,3,1,1,3,3,3,3,Sí,.549386536,2182
fd-sat-fdss2,3,1,1,3,3,3,3,Sí,.586801063,1638
fd-sat-autotune2,3,1,1,3,3,3,3,Sí,.640724544,1638
fd-opt-lmcut,3,1,1,3,3,3,3,Sí,.542712978,556
fd-opt-bjolp,3,1,1,3,3,3,3,Sí,.562443063,556
metric-ff,4,1,1,4,4,4,4,Sí,.065231167,2047
fd-lama,4,1,1,4,4,4,4,Sí,.535661357,1802
fd-sat-fdss2,4,1,1,4,4,4,4,Sí,1.045436953,1802
fd-sat-autotune2,4,1,1,4,4,4,4,Sí,1.539209238,1857
fd-opt-lmcut,4,1,1,4,4,4,4,Sí,.710126767,567
fd-opt-bjolp,4,1,1,4,4,4,4,Sí,.592429812,567
metric-ff,5,1,1,5,5,5,5,Sí,.058256273,2167
fd-lama,5,1,1,5,5,5,5,Sí,.559326734,1862
fd-sat-fdss2,5,1,1,5,5,5,5,Sí,6.023954502,1862
fd-sat-autotune2,5,1,1,5,5,5,5,Sí,20.407600334,1924
fd-opt-lmcut,5,1,1,5,5,5,5,Sí,4.338125006,677
fd-opt-bjolp,5,1,1,5,5,5,5,Sí,1.297805135,677
metric-ff,6,1,1,6,6,6,6,Sí,.072156433,1892
fd-lama,6,1,1,6,6,6,6,Sí,.586247467,1620
fd-sat-fdss2,6,1,1,6,6,6,6,Sí,49.715195698,1620
fd-sat-autotune2,6,1,1,6,6,6,6,Sí,61.833146710,1727
fd-opt-lmcut,6,1,1,6,6,6,6,No,60,-
fd-opt-bjolp,6,1,1,6,6,6,6,Sí,6.235671619,652
metric-ff,7,1,1,7,7,7,7,Sí,.062437427,2771
fd-lama,7,1,1,7,7,7,7,Sí,.595780505,2466
fd-sat-fdss2,7,1,1,7,7,7,7,Sí,60.897625653,2466
fd-sat-autotune2,7,1,1,7,7,7,7,Sí,61.864199447,2513
fd-opt-bjolp,7,1,1,7,7,7,7,Sí,50.340919753,970
metric-ff,8,1,1,8,8,8,8,Sí,.082634624,2279
fd-lama,8,1,1,8,8,8,8,Sí,.611879289,2434
fd-sat-fdss2,8,1,1,8,8,8,8,Sí,60.956962589,2092
fd-sat-autotune2,8,1,1,8,8,8,8,Sí,61.909928780,2164
fd-opt-bjolp,8,1,1,8,8,8,8,No,60,-
metric-ff,9,1,1,9,9,9,9,Sí,.070341916,3353
fd-lama,9,1,1,9,9,9,9,Sí,.651097714,2992
fd-sat-fdss2,9,1,1,9,9,9,9,Sí,61.001858693,2992
fd-sat-autotune2,9,1,1,9,9,9,9,Sí,61.918151538,2992
metric-ff,10,1,1,10,10,10,10,Sí,.082517764,3060
fd-lama,10,1,1,10,10,10,10,Sí,.642866176,2783
fd-sat-fdss2,10,1,1,10,10,10,10,Sí,59.788195519,2772
fd-sat-autotune2,10,1,1,10,10,10,10,Sí,61.910764401,2861
metric-ff,11,1,1,11,11,11,11,Sí,.059489948,
fd-lama,11,1,1,11,11,11,11,Sí,.664832046,3620
fd-sat-fdss2,11,1,1,11,11,11,11,Sí,61.064341886,3514
fd-sat-autotune2,11,1,1,11,11,11,11,Sí,62.084789912,3848
metric-ff,12,1,1,12,12,12,12,Sí,.057429338,
fd-lama,12,1,1,12,12,12,12,Sí,.680848594,4661
fd-sat-fdss2,12,1,1,12,12,12,12,Sí,61.560050996,4370
fd-sat-autotune2,12,1,1,12,12,12,12,Sí,62.222496995,4566
metric-ff,13,1,1,13,13,13,13,Sí,.063051787,
fd-lama,13,1,1,13,13,13,13,Sí,.762733586,5751
fd-sat-fdss2,13,1,1,13,13,13,13,Sí,61.253834217,4920
fd-sat-autotune2,13,1,1,13,13,13,13,Sí,60.976251946,4920
metric-ff,14,1,1,14,14,14,14,Sí,.062779211,
